"","Job.Family","Department.Code","Salaries","Year","Overtime","Union","Total.Benefits","Retirement","Total.Compensation"
"1420","Public Service Aide","HSA",10563.16,2018,0,"Laborers, Local 261",857.93,0,11421.09
"1421","Housekeeping & Laundry","JUV",61603.02,2018,533.71,"SEIU, Local 1021, Misc",32179.56,12531.84,97638.11
"1422","Correction & Detention","JUV",79687.37,2018,12144.75,"SEIU, Local 1021, Misc",37249.63,21215.7,138211.19
"1423","Correction & Detention","JUV",81027.81,2018,5001.12,"SEIU, Local 1021, Misc",38383.96,22311.28,126806.74
"1424","Correction & Detention","JUV",66193.86,2018,8571.53,"SEIU, Local 1021, Misc",33465.95,18752,113874.2
"1425","Human Services","HSA",82063,2018,0,"SEIU, Local 1021, Misc",22420.01,15781.18,104483.01
"1426","Public Service Aide","HSA",11517.69,2018,0,"Laborers, Local 261",959.54,0,12832.11
"1427","Public Service Aide","HSA",10678.25,2018,0,"SEIU, Local 1021, Misc",860.94,0,11561.05
"1428","Public Service Aide","HSA",7116.32,2018,0,"SEIU, Local 1021, Misc",589.97,0,7706.29
"1429","Public Service Aide","HSA",7744,2018,0,"Laborers, Local 261",623.89,0,8367.89
"1430","Public Service Aide","HSA",7592.75,2018,181.5,"Laborers, Local 261",3900.3,0,11674.55
"1431","Public Service Aide","HSA",7744,2018,0,"Laborers, Local 261",3962.9,0,11706.9
"1432","Public Service Aide","HSA",3694.28,2018,0,"Laborers, Local 261",310.34,0,4112.61
"1433","Public Service Aide","HSA",6776,2018,0,"SEIU, Local 1021, Misc",552.25,0,7328.25
"1434","Public Service Aide","HSA",6125.63,2018,0,"Laborers, Local 261",490.67,0,6616.3
"1435","Public Service Aide","HSA",15881.29,2018,0,"Laborers, Local 261",3068.2,1733.1,19387.18
"1436","Human Services","HSA",85066,2018,627.75,"SEIU, Local 1021, Misc",37647.59,16343.32,123779.29
"1437","Human Services","HSA",50835.24,2018,0,"SEIU, Local 1021, Misc",28657.53,11661.26,80372.77
"1438","Public Service Aide","HSA",15959.91,2018,0,"SEIU, Local 1021, Misc",8565.28,0,24525.19
"1439","Human Services","HSA",31515.78,2018,0,"SEIU, Local 1021, Misc",14113.56,6151.49,46069.34
"1440","Library","LIB",85994,2018,0,"SEIU, Local 1021, Misc",37987.26,16713.24,124976.81
"1441","Library","LIB",13629.78,2018,0,"SEIU, Local 1021, Misc",8577.09,3126.76,22475.49
"1442","Housekeeping & Laundry","LIB",3416,2018,0,"SEIU, Local 1021, Misc",266.2,0,3695.85
"1443","Housekeeping & Laundry","LIB",27447.63,2018,0,"SEIU, Local 1021, Misc",20093.65,6273.78,47911.35
"1444","Information Systems","LIB",36636.29,2018,0,"Prof & Tech Eng, Local 21",8210.86,1035.71,57033.55
"1445","Library","LIB",67239.05,2018,0,"SEIU, Local 1021, Misc",32912.08,13118.2,101193.99
"1446","Library","LIB",32568.15,2018,107.66,"SEIU, Local 1021, Misc",19610.45,7474.28,52839.64
"1447","Library","LIB",9001.58,2018,0,"SEIU, Local 1021, Misc",5523.79,2054.72,15815.81
"1448","Library","LIB",59117.94,2018,0,"SEIU, Local 1021, Misc",28724.49,11355.19,87842.43
"1449","Library","LIB",35440.67,2018,0,"SEIU, Local 1021, Misc",20510.4,8240.51,57097.12
"1450","Library","LIB",16529.82,2018,0,"SEIU, Local 1021, Misc",11367.04,3781.26,28076.14
"1451","Library","LIB",43506.59,2018,0,"SEIU, Local 1021, Misc",19301.23,8286.47,63727.15
"1452","Sub-Professional Engineering","MTA",3797.1,2018,0,"Prof & Tech Eng, Local 21",294.72,0,4091.82
"1453","Journeyman Trade","LIB",59396.6,2018,0,"SF City Workers United",27168.14,11416.67,86564.74
"1454","Library","LIB",26891.02,2018,0,"SEIU, Local 1021, Misc",16499.86,6206.08,44019.19
"1455","Street Transit","MTA",79334.25,2018,25558.18,"TWU, Local 250-A, TransitOpr",39862.03,15693.75,147681.72
"1456","Library","LIB",54263.56,2018,0,"SEIU, Local 1021, Misc",26527.06,10615.87,81805.98
"1457","Library","LIB",79185.03,2018,0,"SEIU, Local 1021, Misc",35948.29,15335.67,115772.57
"1458","Administrative-DPW/PUC","MTA",149180,2018,0,"Prof & Tech Eng, Local 21",40497.82,27946.69,189677.82
"1459","Library","LIB",51079.03,2018,0,"SEIU, Local 1021, Misc",24029.31,10035.01,76247.79
"1460","Library","LIB",2960,2018,0,"SEIU, Local 1021, Misc",1686.02,543.98,9054.64
"1461","Library","LIB",47121.61,2018,0,"SEIU, Local 1021, Misc",20270.97,9289.65,68633.69
"1462","Library","LIB",27465.62,2018,0,"SEIU, Local 1021, Misc",15765.52,6274.1,43581.83
"1463","Library","LIB",46403.49,2018,0,"SEIU, Local 1021, Misc",25827.54,10971,74464.83
"1464","Library","LIB",45641.89,2018,0,"SEIU, Local 1021, Misc",19832.14,8952.79,66433.41
"1465","Library","LIB",3860.5,2018,0,"SEIU, Local 1021, Misc",299.64,0,4160.14
"1466","Protection & Apprehension","MTA",68589,2018,17309.97,"SEIU, Local 1021, Misc",34946.98,13395.65,122281.87
"1467","Street Transit","MTA",79583.64,2018,29835.27,"TWU, Local 250-A, TransitOpr",41148.6,16531.95,157574.98
"1468","Journeyman Trade","MTA",107756.01,2018,28690.79,"Electrical Workers, Local 6",48219.21,20702.29,184666.01
"1469","Library","LIB",56681.01,2018,0,"SEIU, Local 1021, Misc",25615.57,10949.58,98150.33
"1470","Library","LIB",67239.03,2018,0,"SEIU, Local 1021, Misc",32820.11,13037.68,100683.14
"1471","Administrative Secretarial","LIB",104634.2,2018,0,"Prof & Tech Eng, Local 21",42762.95,20101.72,147397.15
"1472","Library","LIB",23257.12,2018,0,"SEIU, Local 1021, Misc",14529.98,5343.96,38220.3
"1473","Street Transit","MTA",165614.14,2018,0,"Municipal Exec Assoc, Misc",59221.98,31022.68,224836.12
"1474","Library","LIB",88291.81,2018,0,"SEIU, Local 1021, Misc",38591.42,17261.02,128430.82
"1475","Library","LIB",54773.14,2018,0,"SEIU, Local 1021, Misc",31649.43,12751.33,88182.13
"1476","Library","LIB",101647.15,2018,0,"SEIU, Local 1021, Misc",42570.91,19905.39,146181.66
"1477","Library","LIB",112506.03,2018,0,"SEIU, Local 1021, Misc",45265.21,21815.13,158815.36
"1478","Skilled Labor","LIB",63538.21,2018,0,"SEIU, Local 1021, Misc",31499.7,12229.65,95157.91
"1479","Library","LIB",11150.75,2018,0,"SEIU, Local 1021, Misc",874.31,0,12138.94
"1480","Personnel","MTA",99546.05,2018,0,"Prof & Tech Eng, Local 21",40298.93,19124.59,139844.98
"1481","Library","LIB",86067.09,2018,0,"SEIU, Local 1021, Misc",37507.2,16684.51,124352.15
"1482","Clerical, Secretarial & Steno","LIB",19931.23,2018,0,"SEIU, Local 1021, Misc",6739.07,0,26772.28
"1483","Protection & Apprehension","LIB",34398.81,2018,2729.61,"SEIU, Local 1021, Misc",15863.71,4529.22,53731.54
"1484","Protection & Apprehension","LIB",20500.51,2018,207.47,"SEIU, Local 1021, Misc",6853.43,0,27822.78
"1485","Street Transit","MTA",68273.66,2018,29605.7,"SEIU, Local 1021, Misc",38759.15,15281.11,147907.69
"1486","Street Transit","MTA",186601.5,2018,0,"Municipal Exec Assoc, Misc",68890.69,34956.81,255492.19
"1487","Library","LIB",30402.56,2018,0,"SEIU, Local 1021, Misc",17615.13,7077.55,48994.2
"1488","Library","LIB",34302.41,2018,0,"SEIU, Local 1021, Misc",20365.15,7855.93,55174.89
"1489","Library","LIB",27883.43,2018,0,"SEIU, Local 1021, Misc",15993.54,6380.85,44297.83
"1490","Library","LIB",9792.35,2018,0,"SEIU, Local 1021, Misc",6189.81,2272.23,16230.56
"1491","Library","LIB",9770.63,2018,0,"SEIU, Local 1021, Misc",5865.56,2251.56,15815.1
"1492","Street Transit","MTA",80195,2018,49582.15,"TWU, Local 250-A, TransitOpr",41599.04,15590.35,173124.17
"1493","Skilled Labor","MTA",69458.89,2018,3567.25,"TWU, Local 250-A, AutoServ",37654.59,15915.51,124315.4
"1494","Library","LIB",28296.03,2018,0,"SEIU, Local 1021, Misc",16459.72,6641.1,45899.79
"1495","Library","LIB",86067.01,2018,0,"SEIU, Local 1021, Misc",37476.28,16535.21,123543.29
"1496","Library","LIB",102040.03,2018,0,"SEIU, Local 1021, Misc",42524.07,19848.63,145838.64
"1497","Library","LIB",2605.5,2018,0,"SEIU, Local 1021, Misc",1637.36,603.39,4303.65
"1498","Library","LIB",1387,2018,0,"SEIU, Local 1021, Misc",110.15,0,1529.27
"1499","Street Transit","MTA",31903.32,2018,2581.77,"TWU, Local 250-A, TransitOpr",15364.07,6320.06,51137.11
"1500","Library","LIB",68503.62,2018,0,"SEIU, Local 1021, Misc",29993.62,13712.97,101418.45
"1501","Public Safety Inspection","MTA",123517,2018,61457.78,"Electrical Workers, Local 6",52665.2,23137.02,237639.98
"1502","Street Transit","MTA",50892.63,2018,6509.3,"TWU, Local 250-A, TranFare",24690.16,10604.49,86899.62
"1503","Street Transit","MTA",75467.52,2018,22211.64,"TWU, Local 250-A, TransitOpr",37398.49,14707.17,136707.04
"1504","Library","LIB",67239.01,2018,0,"SEIU, Local 1021, Misc",32890.56,13037.68,100753.57
"1505","Personnel","LIB",72337.5,2018,0,"Prof & Tech Eng, Local 21",28992.97,13880.64,111569.17
"1506","Housekeeping & Laundry","LIB",2372,2018,0,"SEIU, Local 1021, Misc",8805.67,461.23,11201.67
"1507","Budget, Admn & Stats Analysis","LIB",77315,2018,0,"SEIU, Local 1021, Misc",35768.83,15083.87,114282.63
"1508","Legal & Court","MTA",91582.9,2018,0,"TWU, Local 200",42590.35,18886.82,141035.75
"1509","Library","LIB",79185,2018,0,"SEIU, Local 1021, Misc",36153.01,15332.73,115962.01
"1510","Library","LIB",91461.23,2018,0,"SEIU, Local 1021, Misc",39909.12,18048.08,133853.02
"1511","Budget, Admn & Stats Analysis","LIB",87782.1,2018,0,"SEIU, Local 1021, Misc",38236.03,16864.56,126018.13
"1512","Library","LIB",65297.35,2018,0,"SEIU, Local 1021, Misc",32759.06,13106.01,100956.57
"1513","Library","LIB",92126.66,2018,0,"SEIU, Local 1021, Misc",39851.75,18058.98,133851.54
"1514","Journeyman Trade","MTA",89057.04,2018,913.23,"Auto Machinist, Local 1414",40416.99,17354.13,131667.99
"1515","Journeyman Trade","MTA",94352.04,2018,6696.14,"Carpenters, Local 22",44455.98,18520.78,147554.16
"1516","Sub-Professional Engineering","LIB",69732.07,2018,0,"SEIU, Local 1021, Misc",33629.8,13516.63,103985.87
"1517","Personnel","LIB",88930.1,2018,0,"Prof & Tech Eng, Local 21",38363.11,17086.3,127293.21
"1518","Library","LIB",28845.65,2018,0,"SEIU, Local 1021, Misc",17150.37,6667.04,46693.99
"1519","Library","LIB",101647.09,2018,0,"SEIU, Local 1021, Misc",42385.33,19809.26,145496.12
"1520","Library","LIB",63863.73,2018,0,"SEIU, Local 1021, Misc",31437.92,12511.31,96567.85
"1521","Library","LIB",33716.6,2018,0,"SEIU, Local 1021, Misc",16230.36,6516.43,50148.68
"1522","Street Transit","MTA",75302.09,2018,11022.35,"TWU, Local 250-A, TransitOpr",36391.04,14618.81,124058.94
"1523","Street Transit","MTA",22621.35,2018,0,"TWU, Local 200",10027.33,4339.77,32798.68
"1524","Street Transit","MTA",75056.04,2018,43487.29,"SEIU, Local 1021, Misc",40692.14,15801.81,166430.4
"1525","Journeyman Trade","MTA",89057.01,2018,11358.49,"Auto Machinist, Local 1414",43630.12,18970.05,153728.94
"1526","Street Transit","MTA",75611.84,2018,37460.31,"TWU, Local 250-A, TransitOpr",39684.1,15569.86,158740.47
"1527","Street Transit","MTA",45723.94,2018,4136.31,"SEIU, Local 1021, Misc",32208.11,10197.86,89320.24
"1528","Street Transit","MTA",0,2018,0,"TWU, Local 250-A, TransitOpr",4374.06,0,6293.81
"1529","Street Transit","MTA",75220.06,2018,38563.05,"TWU, Local 250-A, TransitOpr",38605.34,14659.62,154018.34
"1530","Agriculture & Horticulture","MTA",72043,2018,5455.92,"Laborers, Local 261",34622.61,13912.14,112491.53
"1531","Journeyman Trade","MTA",90903.16,2018,25115.73,"Auto Machinist, Local 1414",46850.32,20516.26,178712.06
"1532","Street Transit","MTA",78149.6,2018,24986.63,"TWU, Local 250-A, TransitOpr",40365.76,16390.81,151262.43
"1533","Professional Engineering","MTA",109519.28,2018,0,"Prof & Tech Eng, Local 21",43636.78,21252.84,154259.55
"1534","Street Transit","MTA",79432.89,2018,5236.43,"TWU, Local 250-A, TransitOpr",38910.3,16140.83,128732.5
"1535","Sub-Professional Engineering","MTA",80562.41,2018,0,"Prof & Tech Eng, Local 21",36020.16,15880.4,116582.57
"1536","Information Systems","MTA",97443,2018,0,"Prof & Tech Eng, Local 21",40427.47,18720.62,143359.52
"1537","Street Transit","MTA",75089.39,2018,28446.15,"TWU, Local 250-A, TransitOpr",39189.87,15837.48,150625.86
"1538","Street Transit","MTA",148881.26,2018,0,"Municipal Exec Assoc, Misc",57070.13,27889.63,205951.39
"1539","Journeyman Trade","MTA",107756,2018,102139.35,"Electrical Workers, Local 6",53430.98,22760.82,298609.72
"1540","Computer Operatns & Repro Svcs","MTA",32510.2,2018,4429.5,"SEIU, Local 1021, Misc",16046.18,6085.03,65116.04
"1541","Protection & Apprehension","MTA",3559.73,2018,0,"SEIU, Local 1021, Misc",2112.96,683.56,5730.39
"1542","Street Transit","MTA",79194.34,2018,32701.67,"TWU, Local 250-A, TransitOpr",41466.33,16596.45,161085.9
"1543","Journeyman Trade","MTA",93160,2018,43448.62,"Electrical Workers, Local 6",46678.19,19417.25,191194.12
"1544","Journeyman Trade","MTA",118116,2018,70802.46,"Electrical Workers, Local 6",53570.81,24901.6,257310.87
"1545","Street Transit","MTA",75687.31,2018,6511.51,"TWU, Local 250-A, TransitOpr",36203.95,14831.61,120435.99
"1546","Housekeeping & Laundry","MTA",45374.18,2018,658.98,"SEIU, Local 1021, Misc",24546.57,9531.93,74807.01
"1547","Street Transit","MTA",73613.56,2018,10302.6,"TWU, Local 250-A, TransitOpr",35713.2,14414.67,121570.88
"1548","Journeyman Trade","MTA",107184,2018,47139.52,"Auto Machinist, Local 1414",50165.51,23663.73,220476.63
"1549","Journeyman Trade","MTA",107184,2018,34070.33,"Auto Machinist, Local 1414",50612.21,23551.88,207200.98
"1550","Street Transit","MTA",57948,2018,6732.09,"SEIU, Local 1021, Misc",33891.88,12050.92,103226.15
"1551","Street Transit","MTA",5277.57,2018,155.16,"TWU, Local 250-A, TransitOpr",6469.49,994.6,14740.77
"1552","Street Transit","MTA",112744.8,2018,62599.25,"TWU, Local 200",49228.65,22110.55,226996.56
"1553","Street Transit","MTA",75908.99,2018,19957.61,"TWU, Local 250-A, TransitOpr",37345.52,14848.02,135127.09
"1554","Protection & Apprehension","MTA",68589.01,2018,12107.7,"SEIU, Local 1021, Misc",34487.06,13416.13,116727.29
"1555","Street Transit","MTA",55430.08,2018,17334.06,"SEIU, Local 1021, Misc",28863.9,10861.45,102743.96
"1556","Journeyman Trade","MTA",104175.17,2018,53284.37,"Stationary Engineers, Local 39",46635.71,20818.46,211237.26
"1557","Journeyman Trade","MTA",600,2018,0,"Auto Machinist, Local 1414",6991.17,115.5,8165.22
"1558","Street Transit","MTA",70156,2018,20461.92,"TWU, Local 250-A, TransitOpr",34521.29,13499.7,125809.81
"1559","Street Transit","MTA",107488.2,2018,58981.06,"TWU, Local 200",50707.97,23255.99,228625.45
"1560","Street Transit","MTA",77519.31,2018,19915.71,"TWU, Local 250-A, TransitOpr",38724.86,15736.88,141098.44
"1561","Street Transit","MTA",0,2018,0,"TWU, Local 250-A, TransitOpr",8312.15,0,8562.15
"1562","Skilled Labor","MTA",71338.1,2018,2974.56,"TWU, Local 250-A, AutoServ",37519.21,15566.41,121771.49
"1563","Protection & Apprehension","MTA",64580.04,2018,0,"SEIU, Local 1021, Misc",19376.39,13520.55,90060.91
"1564","Street Transit","MTA",99339,2018,100417.46,"TWU, Local 200",47210.44,19093.05,249444.9
"1565","Street Transit","MTA",68289.44,2018,16450.41,"TWU, Local 250-A, TransitOpr",33824.49,13608.46,121685.65
"1566","Protection & Apprehension","MTA",68589.08,2018,39643.46,"SEIU, Local 1021, Misc",36849.49,13297.04,146006.07
"1567","Journeyman Trade","MTA",41083.23,2018,10335.62,"Electrical Workers, Local 6",24021.76,7895.75,75440.61
"1568","Journeyman Trade","MTA",102819.04,2018,37916.23,"Operating Engineers, Local 3",46310.22,19753.51,187045.49
"1569","Street Transit","MTA",77066.41,2018,28554.46,"TWU, Local 250-A, TransitOpr",38823.31,15117.05,146615.86
"1570","Street Transit","MTA",75831.66,2018,15229.85,"TWU, Local 250-A, TransitOpr",36707.16,14670.38,128849.14
"1571","Protection & Apprehension","MTA",68589,2018,22746.89,"SEIU, Local 1021, Misc",35642.92,13385.76,128363.31
"1572","Journeyman Trade","MTA",93160,2018,78172.55,"Electrical Workers, Local 6",47977.8,19409.62,227177.95
"1573","Protection & Apprehension","MTA",68589,2018,36991.57,"SEIU, Local 1021, Misc",37905.4,14200.88,149115.77
"1574","Journeyman Trade","MTA",89311.85,2018,0,"Teamsters, Local 853",43117.08,17323.35,133287.18
"1575","Personnel","MTA",99546.03,2018,0,"Prof & Tech Eng, Local 21",40606.2,19124.59,140152.23
"1576","Street Transit","MTA",67638.54,2018,21960.31,"SEIU, Local 1021, Misc",36304.48,14223.27,132301.34
"1577","Street Transit","MTA",78376.84,2018,14512.24,"TWU, Local 250-A, TransitOpr",38619.36,15546.01,134596.58
"1578","Street Transit","MTA",76338.5,2018,42591.26,"TWU, Local 250-A, TransitOpr",51524.5,15660.43,176007.08
"1579","Street Transit","MTA",73093.21,2018,24553.42,"TWU, Local 250-A, TransitOpr",37556.6,14982.85,140629.06
"1580","Street Transit","MTA",7043.69,2018,0,"TWU, Local 250-A, TransitOpr",11565.61,1358.67,18966.95
"1581","Journeyman Trade","MTA",36126.28,2018,71.76,"Auto Machinist, Local 1414",21654.74,6965,57973.33
"1582","Computer Operatns & Repro Svcs","MTA",0,2018,0,"SEIU, Local 1021, Misc",5703.06,0,11455.01
"1583","Clerical, Secretarial & Steno","MTA",38402.82,2018,1345.13,"SEIU, Local 1021, Misc",25217.24,7446.94,65247.89
"1584","Protection & Apprehension","MTA",2564,2018,0,"SEIU, Local 1021, Misc",1611.92,471.79,8774.07
"1585","Street Transit","MTA",87729.46,2018,43212.1,"SEIU, Local 1021, Misc",42686.49,17671.15,178180.52
"1586","Street Transit","MTA",0,2018,0,"TWU, Local 200",11.24,0,161.24
"1587","Street Transit","MTA",70240.38,2018,24316.81,"TWU, Local 250-A, TransitOpr",35188.31,13612.01,130867.97
"1588","Street Transit","MTA",48195,2018,13371.98,"TWU, Local 200",32075.85,10137.9,98262.34
"1589","Street Transit","MTA",76592.77,2018,23845.04,"TWU, Local 250-A, TransitOpr",37795.38,14719.42,138798.92
"1590","Street Transit","MTA",99339.01,2018,17739,"TWU, Local 200",44430.48,19266.65,162606.59
"1591","Street Transit","MTA",71507.73,2018,20312.95,"TWU, Local 250-A, TransitOpr",36376.7,14589.19,133187.4
"1592","Street Transit","MTA",73083.79,2018,25480.08,"TWU, Local 250-A, TransitOpr",37167.33,14644.75,139420.86
"1593","Street Transit","MTA",74332.58,2018,27505.93,"TWU, Local 250-A, TransitOpr",36885.64,14378.08,139782.33
"1594","Housekeeping & Laundry","MTA",61603,2018,1119.38,"SEIU, Local 1021, Misc",31829.2,11954.96,95175.58
"1595","Street Transit","MTA",75530.69,2018,14336.22,"TWU, Local 250-A, TransitOpr",37382.29,14964.98,130152.37
"1596","Street Transit","MTA",8087.37,2018,0,"TWU, Local 250-A, TransitOpr",4388.08,1552.47,20763.26
"1597","Street Transit","MTA",80634.37,2018,32274.44,"TWU, Local 250-A, TransitOpr",42085.48,16964.62,163309.67
"1598","Street Transit","MTA",78880.89,2018,25319.18,"TWU, Local 250-A, TransitOpr",39974.49,15827.66,148237.64
"1599","Journeyman Trade","MTA",55005.98,2018,1473.73,"Electrical Workers, Local 6",14225.93,962.79,97818.99
"1600","Journeyman Trade","MTA",0,2018,0,"Electrical Workers, Local 6",2166.49,0,25130.88
"1601","Protection & Apprehension","MTA",47992.17,2018,12185.75,"SEIU, Local 1021, Misc",24930.45,9559.87,87206.96
"1602","Street Transit","MTA",81218.47,2018,36659.65,"TWU, Local 250-A, TransitOpr",43286.47,17372.17,170939.22
"1603","Budget, Admn & Stats Analysis","MTA",111637.57,2018,0,"Prof & Tech Eng, Local 21",41751.52,20905.38,153389.09
"1604","Street Transit","MTA",75164.54,2018,21043.01,"TWU, Local 250-A, TransitOpr",36695.94,14441.12,133457.73
"1605","Clerical, Secretarial & Steno","MTA",81053.91,2018,0,"SEIU, Local 1021, Misc",37022.43,15572.03,118076.34
"1606","Street Transit","MTA",176336.01,2018,0,"Municipal Exec Assoc, Misc",62672.05,33032.29,239008.06
"1607","Journeyman Trade","MTA",92803.6,2018,57326.04,"Electrical Workers, Local 6",48129.48,19600.86,207479.48
"1608","Street Transit","MTA",54617.72,2018,10221.06,"TWU, Local 250-A, TransitOpr",27657.15,11353.75,97470.13
"1609","Street Transit","MTA",70977.83,2018,19239.79,"TWU, Local 250-A, TransitOpr",35941.82,14418.35,130790.32
"1610","Street Transit","MTA",74211.76,2018,42905.47,"TWU, Local 250-A, TransitOpr",37986.67,14262.77,155658.86
"1611","Construction Project Mgmt","MTA",170369,2018,0,"Prof & Tech Eng, Local 21",56747.4,31913.25,227116.4
"1612","Protection & Apprehension","MTA",67285.35,2018,4217.33,"SEIU, Local 1021, Misc",33303.39,13158.97,106317.18
"1613","Street Transit","MTA",64428.16,2018,38825.02,"TWU, Local 250-A, TransitOpr",33391.49,12492.07,137676.86
"1614","Semi-Skilled & General Labor","MTA",69561.1,2018,349.99,"Laborers, Local 261",34103.36,13841.75,106500.3
"1615","Street Transit","MTA",79597.19,2018,14564.57,"TWU, Local 250-A, TransitOpr",40472.56,16677.81,142358.81
"1616","Street Transit","MTA",80142.69,2018,19434.64,"TWU, Local 250-A, TransitOpr",39688.54,16079.46,143378.75
"1617","Management","MTA",213273,2018,0,"Prof & Tech Eng, Local 21",65632.66,39949.96,278905.66
"1618","Street Transit","MTA",198820.16,2018,0,"Municipal Exec Assoc, Misc",66075.74,37242.77,264895.9
"1619","Journeyman Trade","MTA",118116,2018,34425.04,"Electrical Workers, Local 6",51942.29,24224.49,215718.69
"1620","Street Transit","MTA",80047.07,2018,33103.32,"TWU, Local 250-A, TransitOpr",41691.45,16667.15,162090.91
"1621","Protection & Apprehension","MTA",68580.76,2018,491.88,"SEIU, Local 1021, Misc",33864.3,13404.97,104430.72
"1622","Street Transit","MTA",99339,2018,22844.28,"TWU, Local 200",45125.56,19635.8,170326.84
"1623","Protection & Apprehension","MTA",68589.01,2018,0,"SEIU, Local 1021, Misc",33830.44,13407.3,103915.81
"1624","Street Transit","MTA",0,2018,0,"TWU, Local 250-A, TransitOpr",7358.16,0,7608.16
"1625","Journeyman Trade","MTA",92428.55,2018,45705.35,"Electrical Workers, Local 6",47387.96,19532.97,194764.72
"1626","Street Transit","MTA",76880.47,2018,14453.78,"TWU, Local 250-A, TransitOpr",37776.46,15185.44,131815.89
"1627","Sub-Professional Engineering","MTA",80562.09,2018,0,"Prof & Tech Eng, Local 21",35397.6,15477.59,115959.69
"1628","Street Transit","MTA",17726.1,2018,11331.52,"TWU, Local 250-A, TransitOpr",19598.06,3679.76,50364.49
"1629","Protection & Apprehension","MTA",19994.6,2018,0,"SEIU, Local 1021, Misc",11644.73,3849.61,31882.39
"1630","Professional Engineering","MTA",167732.03,2018,0,"Prof & Tech Eng, Local 21",57034.49,31797.68,226780.25
"1631","Street Transit","MTA",74448.66,2018,26734.28,"TWU, Local 250-A, TransitOpr",36820.98,14303.62,138542.42
"1632","Street Transit","MTA",53892.37,2018,14236.8,"TWU, Local 250-A, TransitOpr",26704.09,10572.33,96476.99
"1633","Clerical, Secretarial & Steno","MTA",48452.04,2018,0,"SEIU, Local 1021, Misc",23850.12,9377.07,83650
"1634","Journeyman Trade","MTA",93160,2018,47972.7,"Electrical Workers, Local 6",47605.27,19538.34,197275.57
"1635","Street Transit","MTA",76389,2018,23125.41,"TWU, Local 200",37496.48,15819.83,143166.34
"1636","Street Transit","MTA",68007.06,2018,20646.72,"TWU, Local 250-A, TransitOpr",35487.68,14022.71,129517.44
"1637","Journeyman Trade","MTA",118116,2018,31154.72,"Electrical Workers, Local 6",51193.97,23422.22,207273.49
"1638","Street Transit","MTA",79017.53,2018,26451.82,"TWU, Local 250-A, TransitOpr",39249.78,15395.73,146399.41
"1639","Street Transit","MTA",78491.32,2018,18222.1,"TWU, Local 250-A, TransitOpr",39133.74,15725.5,139747.41
"1640","Journeyman Trade","MTA",118490.01,2018,15605.94,"Electrical Workers, Local 6",51110.14,24136.3,195566.09
"1641","Personnel","MTA",99546.02,2018,0,"Prof & Tech Eng, Local 21",40367.65,19124.59,139913.67
"1642","Street Transit","MTA",0,2018,0,"TWU, Local 250-A, TransitOpr",2936.55,0,8126.06
"1643","Street Transit","MTA",73365.47,2018,11460.02,"TWU, Local 250-A, TransitOpr",37183.94,15567.36,130220.68
"1644","Protection & Apprehension","MTA",68573.04,2018,679.01,"SEIU, Local 1021, Misc",33744.09,13303.84,103970.67
"1645","Street Transit","MTA",98089.7,2018,616.98,"TWU, Local 200",43113.75,19459.74,145164.36
"1646","Payroll, Billing & Accounting","MTA",91210.08,2018,2848.73,"SEIU, Local 1021, Misc",40086.05,17643.02,134768.86
"1647","Journeyman Trade","MTA",118116.01,2018,26006.33,"Electrical Workers, Local 6",49724.51,22215.3,194326.12
"1648","Street Transit","MTA",78717.95,2018,0,"Electrical Workers, Local 6",31849.21,15108.77,110567.16
"1649","Skilled Labor","MTA",71649.18,2018,16649.5,"TWU, Local 250-A, AutoServ",38173.8,15079.29,133563.22
"1650","Professional Engineering","MTA",170862.09,2018,0,"Prof & Tech Eng, Local 21",56964.01,32005.69,227826.1
"1651","Journeyman Trade","MTA",89057.06,2018,9837.19,"Auto Machinist, Local 1414",43206.99,19107.7,152510.17
"1652","Library","MTA",92171.06,2018,0,"SEIU, Local 1021, Misc",39835.09,17707.71,132006.15
"1653","Clerical, Secretarial & Steno","MTA",74147.09,2018,0,"SEIU, Local 1021, Misc",35172.3,14368.7,109963.42
"1654","Street Transit","MTA",31458.9,2018,3784.89,"TWU, Local 250-A, TransitOpr",15339.05,6230.72,52005.6
"1655","Street Transit","MTA",75056.02,2018,32352.07,"SEIU, Local 1021, Misc",40854.05,16535.57,159277.54
"1656","Journeyman Trade","MTA",126844.6,2018,83393.68,"Electrical Workers, Local 6",54599,25763.93,275535.4
"1657","Journeyman Trade","MTA",125426.45,2018,25742.24,"Electrical Workers, Local 6",51206.33,23769.6,203844.28
"1658","Budget, Admn & Stats Analysis","MTA",77315.11,2018,2623.48,"SEIU, Local 1021, Misc",36074.12,14785.29,116012.71
"1659","Street Transit","MTA",81553.11,2018,39067.92,"TWU, Local 250-A, TransitOpr",42317.87,16512.51,167862.46
"1660","Skilled Labor","MTA",65659.74,2018,14280.04,"TWU, Local 250-A, AutoServ",35766.96,14399.73,125265.23
"1661","Protection & Apprehension","MTA",68589.01,2018,1853.96,"SEIU, Local 1021, Misc",33590.11,13297.04,104957.12
"1662","Street Transit","MTA",68407,2018,33163.64,"SEIU, Local 1021, Misc",38759.4,15022.23,150113.57
"1663","Protection & Apprehension","MTA",52175.64,2018,0,"SEIU, Local 1021, Misc",25550.83,10212.16,78912.7
"1664","Street Transit","MTA",62566.16,2018,8101.54,"TWU, Local 250-A, TranFare",28853.42,12046.4,100246.48
